neighborhood,hogares,ingpc_mean,ingpc_median,iqr,gini
Abel Gilbert,99,211.7979797979798,165.0,178.05,0.3042201873754716
Acacias,24,207.75,200.5,146.5,0.22392699558764542
Academia Logos,57,780.9298245614035,700.0,271.65,0.18246276171636833
Alborada,73,522.7808219178082,429.75,517.5416666666666,0.2994627587001539
Arcadia,57,780.9298245614035,700.0,271.65,0.18246276171636833
Argelia,171,219.83625730994152,187.0,158.47916666666666,0.3168648860215375
Atahualpa,82,235.5121951219512,226.5,251.42857142857144,0.393262371936064
Atarazana,40,610.075,629.8,417.45833333333337,0.24689997131500224
Balerio Estacio,83,139.74698795180723,120.0,71.9,0.19606696464277665
Barrio Lindo,35,241.31428571428572,226.66666666666666,211.4,0.2819728696593485
Bastion Popular,284,181.81338028169014,172.5,126.79166666666666,0.3057738022986374
Batallon del Suburbio,197,177.73096446700507,165.0,93.71428571428572,0.25612183784963993
Belisario Quevedo,59,392.91525423728814,388.75,404.25,0.33898816878671206
Bellavista,39,561.8205128205128,619.2,348.5,0.26210462137622015
Carcelen,126,437.41269841269843,429.16666666666663,244.16666666666669,0.22598685783176115
Centro Historico,90,181.6888888888889,144.0,185.0,0.31133058817134157
Cerro San Eduardo,38,134.42105263157896,87.57142857142857,137.0,0.2866453035486131
Cerro del Carmen,37,201.0810810810811,187.5,112.5,0.27181415286254
Chillogallo,30,212.0,180.0,174.25,0.3054926624737946
Chimbacalle,151,330.7880794701987,300.0,226.66666666666666,0.25936216530264844
Ciudadela 9 de Octubre,34,343.20588235294116,295.0,289.3125,0.3533570596805009
Colinas de la Florida,41,144.26829268292684,173.33333333333334,84.33333333333334,0.2509865369152423
Comite del Pueblo,122,200.1639344262295,174.5,150.75,0.29060565781877257
Cotocollao,59,391.23728813559325,365.0,165.33333333333337,0.21017595310071172
Cristo del Consuelo,115,202.28695652173914,170.0,170.75,0.2992488538432928
El Fortin,83,172.53012048192772,176.66666666666666,80.0,0.19374705526014674
El Inca,76,330.36842105263156,300.0,165.33333333333334,0.2588412793573866
El Pintado,104,265.36538461538464,216.75,180.0,0.3252751035470797
El condado,124,219.17741935483872,220.65,147.9333333333333,0.2668296107620252
Estero Salado,92,187.29347826086956,151.5,124.82857142857144,0.2550585017397865
Febres Cordero,332,238.31927710843374,197.2,195.08333333333331,0.34175661468959184
Flor de Bastion,269,134.79182156133828,115.0,100.5,0.2681490897119659
Floresta,154,267.24675324675326,223.0,182.61904761904762,0.28679711531543584
Florida,96,198.52083333333334,206.42857142857142,72.72916666666666,0.1982189238115227
Garzota,53,570.0377358490566,500.0,566.5714285714286,0.29049996377798154
Guamani,126,196.76190476190476,175.0,136.25,0.2766163688235324
Guanguala,39,412.8205128205128,359.8333333333333,379.46666666666664,0.3916387959866221
Guasmo Norte - Rio Guayas,143,191.27272727272728,150.0,111.75,0.24047051953603577
Guasmo Oeste,126,224.46825396825398,200.0,138.75,0.24009514942230706
Guasmo Sur,323,182.1826625386997,159.33333333333334,108.57142857142858,0.26732921431046086
Guasmo Sur - La Union,81,183.20987654320987,187.7,127.5,0.25914944594189876
Guayacanes,41,304.9268292682927,296.25,157.33333333333331,0.21233285601133084
Huancavilca Norte,41,504.2439024390244,550.0,414.7142857142857,0.2531812079270062
Isla Trinitaria,319,159.6269592476489,134.0,111.6,0.3158527755730048
I̱aquito,97,966.2164948453608,860.0,512.5,0.33527423595590033
Juan Montalvo,215,212.73953488372092,187.66666666666666,153.24444444444447,0.2775577505736543
La Ecuatoriana,66,244.34848484848484,217.625,190.0,0.2854445114629898
La Ferroviaria,301,230.06312292358805,193.6,199.33333333333331,0.34415373977359087
La Luz,119,517.3277310924369,400.0,562.5,0.39889061761607264
La Mena,181,256.8729281767956,205.33333333333334,166.66666666666666,0.3433454373130068
La Paz,26,1029.2692307692307,875.0,818.5,0.3038347997803923
La Tola,55,236.94545454545454,166.2,254.33333333333331,0.40409621072604485
La Vicentina,72,274.90277777777777,250.0,138.875,0.21346281232983602
Las Americas,24,207.75,200.5,146.5,0.22392699558764542
Los Esteros,89,214.74157303370785,195.0,219.85714285714286,0.3262630455129079
Luz del Guayas,42,205.16666666666666,210.0,73.83333333333334,0.20473095818343584
Mapasingue,202,223.2128712871287,191.11111111111111,202.7,0.3778061387500058
MarcoPamba,105,284.18095238095236,277.6,191.79999999999998,0.2849013515389734
Mariscal Sucre,26,530.9230769230769,496.875,218.75,0.2542685509216949
Monte Sinai,81,119.17283950617283,114.75,55.533333333333346,0.22257521169776429
Mucho Lote,166,298.144578313253,296.625,220.75,0.2815203674148627
Nueva Prosperina,126,170.0873015873016,123.75,143.2,0.31742587691913443
Orquideas,45,188.2888888888889,156.0,87.77777777777777,0.30333477582385876
Parroquia Garcia Moreno,180,218.38888888888889,188.33333333333334,155.0,0.2870069815427231
Parroquia Letamendi,195,271.16410256410256,216.0,229.52380952380955,0.3217583331999808
Parroquia Sucre,111,281.0900900900901,225.0,228.75,0.3579274284059387
Parroquia Urdaneta,80,251.6,208.0,206.0,0.3266929153418124
Pascuales,72,149.25,151.42857142857144,51.41964285714286,0.2456715160162955
Ponceano,183,363.344262295082,255.0,330.1904761904762,0.3744610058681614
Pradera,38,296.2105263157895,222.14285714285714,120.6875,0.2868037631391912
Prosperina,69,290.94202898550725,230.0,203.25,0.295875250419622
Puerto Lisa,220,210.07272727272726,165.75,148.125,0.30542285631107685
Quitumbe,220,242.46818181818182,215.83333333333331,145.83333333333334,0.28521821897053884
Rosales,42,259.73809523809524,244.0,115.51666666666668,0.16835814901632112
Samanes,34,411.0882352941176,338.0,222.25,0.2529470685032974
San Bartolo,92,237.18478260869566,195.0,138.75,0.27132070622037413
San Carlos,26,395.1923076923077,375.75,200.0,0.25492794310312555
San Francisco,39,133.76923076923077,122.0,91.5,0.18235748022982065
San Isidro del Inca,139,328.8129496402878,233.33333333333334,350.8333333333333,0.4305397690380678
San Juan,201,233.11940298507463,193.66666666666666,129.5,0.31186863981307794
Santa Anita,81,234.17283950617283,223.25,224.83333333333331,0.2883238046143993
Santa Isabel,120,232.9,225.0,152.92857142857144,0.272059718047803
Santa Maria de Cotocollao,56,167.67857142857142,154.375,151.84615384615384,0.3568461889548152
Santa Rita,34,250.38235294117646,221.25,185.33333333333334,0.22581380725672157
Sauces,107,375.68224299065423,344.0,410.0,0.3411814787828287
Sergio Toral,49,114.10204081632654,118.57142857142857,67.48888888888888,0.22757054887775183
Solanda,32,217.46875,201.0,78.66666666666669,0.20107055611438426
TerraNostra,57,780.9298245614035,700.0,271.65,0.18246276171636833
Turubamba,112,261.08035714285717,239.41666666666669,247.4666666666667,0.2770098369705941
Urbanor,82,308.1585365853659,291.0,195.0895833333333,0.24971212195797607
Urdenor,40,555.4,359.16666666666663,359.0476190476191,0.2901624954987396
Vergeles,27,204.37037037037038,205.0,109.66666666666669,0.17213026727343506
