sector,pmc,ccmc,ap,bps,ac,ingpc_mean
Abel Gilbert,341.42085565531943,0.0,3000.0,1.8666666666666667,0.0,186.58240398839652
Acacias,507.0232027672504,0.0,245.0,2.2,1.0,297.9176026957638
Alborada,819.0859208941413,4.15704405006083e-06,389.19282511210764,2.0669099756690996,113.0,422.23723963064566
Argelia,435.4266708423215,4.232569320028879e-07,1660.2790697674418,2.1553398058252426,9.0,191.0062546405107
Atarazana,857.2443039464681,1.2519775550614385e-06,617.6017897091723,2.236541598694943,19.0,553.194132699773
Bastion Popular,270.03122964185263,4.2733849231510313e-07,2718.181818181818,2.9926470588235294,1.0,178.88144243130114
Batallon del Suburbio,552.6676517280791,0.0,346.42857142857144,2.889830508474576,3.0,182.72538443704943
Belisario Quevedo,1007.4000987642496,7.950170164365027e-07,404.7229102167183,1.9623467600700526,121.0,377.458867266827
Bellavista,628.1230552118698,1.5575397600580285e-06,386.9230769230769,2.5102880658436213,0.0,634.4200775294526
Carcelen,756.5561601782215,1.025747820934205e-06,490.0,3.0357439733998337,14.0,474.1011911963817
Centro Historico,733.5922209406227,1.8321967444486118e-06,668.25,2.671957671957672,9.0,245.8502684407096
Chillogallo,599.275878352447,0.0,305.0,2.4358974358974357,5.0,270.9324884792627
Ciudadela 9 de Octubre,510.8284549931958,2.516043022990555e-06,294.54545454545456,2.2222222222222223,0.0,418.9949567573312
Comite del Pueblo,752.4276687174784,9.674729703845265e-07,1842.99,2.65,7.0,262.1381635116225
Cotocollao,705.4710369631482,1.142183326118916e-06,392.2369668246445,2.38755980861244,25.0,444.6016975767024
Cristo del Consuelo,591.3253044210185,0.0,350.0,2.282051282051282,1.0,213.67445863575887
El Fortin,480.5124590390441,1.5862147049403067e-06,560.0,1.9047619047619047,0.0,157.93762601497315
El Inca,907.5331391615716,2.3395980447461705e-06,502.3353500432152,2.006260671599317,119.0,308.59761925929695
El condado,727.0694758078761,1.9162223835879107e-06,511.53846153846155,2.689189189189189,0.0,228.2985551781601
Febres Cordero,649.3574430208972,0.0,448.8659793814433,2.719047619047619,14.0,246.1937420901874
Floresta,472.77863954554175,3.6038723117539368e-06,32200.0,3.669811320754717,0.0,236.2172511027578
Florida,438.0258768062018,1.6511889039432343e-06,1659.0697674418604,2.725609756097561,1.0,195.3540048620079
Garzota,822.8042333102381,8.214626195761995e-06,436.9787644787645,2.0791044776119403,36.0,501.0999745028047
Guamani,402.0906338326429,1.2570260840331906e-07,1326.3235294117646,2.2635135135135136,0.0,210.5896534148828
Guasmo Oeste,410.07552795433605,1.0815363323775349e-06,367.0,2.4669421487603307,1.0,235.10977077408077
Guasmo Sur - La Union,237.014518438233,0.0,53000.0,3.16,0.0,174.52961033950618
Guayacanes,630.6304269351687,5.5351499034379e-06,335.0,2.601336302895323,0.0,323.5776628400448
Huancavilca Norte,798.033531651605,6.77989618418365e-06,433.48,2.12,14.0,408.4221671584477
I̱aquito,1494.7285632523108,3.1352264409410822e-06,579.3984079342295,1.8755042170883756,1099.0,1076.8037876898347
Juan Montalvo,662.0038517125396,1.7881244653535782e-06,509.27272727272725,2.1615720524017465,1.0,208.78158813387935
La Ecuatoriana,285.2029132860904,1.6179816659411272e-07,520.0,2.626865671641791,1.0,172.87700121944903
La Ferroviaria,227.29277983717475,1.6481465673289402e-07,302.22222222222223,2.462857142857143,0.0,253.00178824804777
La Mena,442.258899190225,5.432793470160496e-07,298.27272727272725,3.485294117647059,3.0,266.5005765068882
La Paz,1480.9770814673782,3.830508956217529e-06,774.0178326474622,2.380782918149466,91.0,1119.0275447612732
Las Americas,591.4142532691166,2.463075178812148e-06,740.6060606060606,3.2142857142857144,3.0,297.9176026957638
Los Esteros,679.8379565676009,0.0,352.72727272727275,3.2635658914728682,0.0,258.75065237180354
Lotizacion Industrial Pascuales,543.6529439004718,0.0,4018.5454545454545,2.260869565217391,0.0,166.08814589665656
Mapasingue,508.64771576498055,2.7653646525235294e-06,989.4401408450705,1.9609756097560975,26.0,202.80470540554128
Mariscal Sucre,1295.5629494004347,6.416883364616592e-06,559.5174909529553,1.7528373266078183,424.0,563.267094017094
Mucho Lote,686.2639803364359,2.2838091266607623e-06,291.91358024691357,2.194160583941606,2.0,290.58310203964174
Orquideas,687.9801866314913,9.67283528791273e-07,343.20754716981133,2.2877358490566038,1.0,312.63240897943786
Parroquia Garcia Moreno,466.7769346105783,0.0,297.1909090909091,3.0786163522012577,7.0,271.97760858366337
Parroquia Letamendi,452.2848303497394,7.862252645729884e-07,260.7142857142857,4.261682242990654,1.0,261.4491583514304
Parroquia Sucre,867.6631188021581,0.0,1466.8354430379748,2.278688524590164,5.0,311.76024548112173
Parroquia Urdaneta,442.43396370676726,2.2405081731027445e-06,624.1509433962265,2.6041666666666665,3.0,279.5562851327777
Pascuales,605.5902282344459,1.7726043148511459e-06,807.688679245283,2.5741758241758244,1.0,204.11404024161465
Ponceano,866.3974460605142,4.642295824217066e-07,623.481418918919,2.6873706004140785,52.0,414.6153626938161
Pradera,447.2253483589232,3.2262863423744916e-06,254.16666666666666,2.210526315789474,0.0,333.0703216374269
Prosperina,453.3892548116658,3.701805582222275e-07,1390.888888888889,2.413612565445026,3.0,281.7926535676329
Puerto Lisa,851.1426302945856,2.837495609484999e-07,778.1927710843373,3.2270114942528734,9.0,217.33899524463925
Quitumbe,606.4510678117521,0.0,1607.8676470588234,2.3568464730290457,10.0,240.09887146160395
Samanes,743.300493610205,3.184935950579321e-06,427.42914979757086,2.6247877758913414,18.0,372.30790130914727
San Carlos,750.6898074950572,2.694664938616019e-06,279.35897435897436,1.7477064220183487,14.0,483.512009729401
San Isidro del Inca,900.9099633035592,4.133585654819008e-07,524.9646017699115,2.636190476190476,8.0,486.9867195529291
San Juan,627.4698010484976,1.022462115986407e-06,641.6605504587156,2.431893687707641,37.0,234.60729737631175
Santa Rita,1063.6241066522064,6.29392634059965e-07,504.2857142857143,1.6865671641791045,3.0,243.32415590710335
Sauces,686.3925281994068,9.823047942375302e-07,295.2687969924812,2.230769230769231,10.0,364.8911108038503
Solanda,517.2088871712369,2.739628992210588e-06,451.05263157894734,2.456140350877193,3.0,234.6124334820881
Turubamba,542.1887393754248,1.6929885285065878e-06,540.6451612903226,2.4503311258278146,4.0,270.2321011257379
Urdenor,936.5852788389494,7.700747712380715e-06,401.4512195121951,2.31740614334471,12.0,434.5878153012299
Vergeles,735.7071431827845,3.591105008989889e-06,639.7619047619048,2.418269230769231,6.0,190.114522417154
