neighborhood,ingpc_mean,gini,ingpc_median,iqr
Abel Gilbert,186.58240398839655,0.24950144165773855,165.375,117.55528273809524
Acacias,297.9176026957638,0.297506986959129,220.25,289.375
Academia Logos,786.9315789473684,0.2936870229808853,755.0,543.075
Alborada,422.23723963064566,0.30091597492143474,380.0,352.3729166666667
Arcadia,786.9315789473684,0.2936870229808853,755.0,543.075
Argelia,191.0062546405107,0.3077511109335334,175.9,139.6775568181818
Atahualpa,333.0939243942357,0.35945880181490153,312.0,332.7738095238095
Atarazana,553.194132699773,0.32874517244570983,435.0,524.8229166666667
Balerio Estacio,123.24001523163412,0.2773813314198037,112.04761904761907,84.85303030303031
Barrio Lindo,254.8886590259018,0.189990528619969,238.83333333333331,117.2875
Bastion Popular,178.88144243130114,0.27746974393877544,162.8125,126.21979166666667
Batallon del Suburbio,182.72538443704946,0.2690685585670771,168.5,112.7452380952381
Belisario Quevedo,377.458867266827,0.25746006492409484,399.375,258.5625
Bellavista,634.4200775294526,0.2974099214772554,546.2583333333333,525.9761904761905
Carcelen,474.1011911963817,0.33449662986828266,404.75,381.20416666666665
Centro Historico,245.8502684407096,0.28485533363772675,242.24999999999997,187.734375
Cerro San Eduardo,123.59326760385918,0.2371303580647271,113.4375,84.36235119047619
Cerro del Carmen,239.41285395972895,0.27974908615029703,228.33333333333331,136.9
Chillogallo,270.9324884792627,0.2890340495418106,210.625,195.125
Chimbacalle,366.230551646632,0.2863515065545858,318.43333333333334,234.50148809523807
Ciudadela 9 de Octubre,418.99495675733124,0.28082656759865854,317.16666666666663,357.6822916666667
Colinas de la Florida,146.42170864134025,0.2394903289109267,146.66666666666669,100.62723214285714
Comite del Pueblo,262.1381635116225,0.3106143517054658,208.75,203.22083333333333
Condor,482.9522727272727,0.17820595865869465,456.125,242.53333333333336
Cooperativa 5 de Diciembre,166.08814589665656,0.22062506234846319,150.1,95.29166666666667
Cotocollao,444.60169757670235,0.33114914622808217,370.375,382.77083333333337
Cristo del Consuelo,213.67445863575887,0.3067612932771416,187.13333333333333,163.93988095238095
El Fortin,157.93762601497315,0.2586705156050986,149.62142857142857,97.92083333333333
El Inca,308.59761925929695,0.28366232405962877,271.07142857142856,200.26666666666668
El Pintado,244.2328127953128,0.2568655538937786,229.73214285714283,139.04820075757576
El Rio,1054.86,0.208105720190357,1037.5,425.0
El condado,228.2985551781601,0.277059458505378,217.2,170.22916666666666
Estero Salado,164.3390208257216,0.2096155605526262,152.75,82.67366071428572
Febres Cordero,246.1937420901874,0.3199024132804704,204.125,197.19821428571427
Flor de Bastion,137.59788704750383,0.27534600534948117,117.5,98.70694444444445
Floresta,236.2172511027578,0.27324523343076074,209.0,161.7172619047619
Florida,195.3540048620079,0.19389726837947457,194.6,86.1875
Garzota,501.0999745028047,0.3458378716850392,402.5,587.1264880952381
Guamani,210.58965341488278,0.34020470905715994,178.75,207.2625
Guanguala,334.0624198717949,0.31038659494518367,289.93333333333334,246.99999999999997
Guasmo Norte - Rio Guayas,213.07176921337367,0.27347835812233867,184.425,151.62777777777777
Guasmo Oeste,235.10977077408074,0.2774212320660651,203.33333333333331,164.17916666666667
Guasmo Sur,189.88094986403246,0.2931866769822583,158.66666666666669,133.68035714285716
Guasmo Sur - La Union,174.52961033950618,0.2580290199327169,166.3939393939394,115.25029761904761
Guayacanes,323.5776628400448,0.24994107053378797,310.625,252.34166666666664
Huancavilca Norte,408.4221671584477,0.21299240922297544,391.0,286.330505952381
Isla Trinitaria,167.3654354092046,0.32303022828964933,149.5,127.98749999999998
I̱aquito,1076.8037876898347,0.3052345253201931,920.0,775.375
Juan Montalvo,208.78158813387938,0.2850117151119128,190.08333333333331,152.56498015873018
La Ecuatoriana,172.87700121944903,0.26814173785993334,146.13333333333333,121.33333333333333
La Ferroviaria,253.00178824804777,0.33665255521429416,212.875,204.72916666666666
La Luz,563.4121059230145,0.36608299513652065,440.8333333333333,593.4791666666667
La Mena,266.5005765068882,0.3204091372545762,248.5,199.94166666666666
La Paz,1119.0275447612732,0.30852926436151384,857.5,900.65625
La Tola,310.21546982429334,0.3037465422946134,306.25,235.03958333333333
La Vicentina,259.4654207710056,0.27189419611557675,233.33333333333331,175.11041666666668
Las Americas,297.9176026957638,0.297506986959129,220.25,289.375
Los Esteros,258.75065237180354,0.27816639662788106,254.46666666666664,194.3452380952381
Lotizacion Industrial Pascuales,166.08814589665656,0.22062506234846319,150.1,95.29166666666667
Luz del Guayas,206.23010397340752,0.2425568480296146,189.175,126.74583333333334
Mapasingue,202.80470540554128,0.3311620605382077,171.75,163.3175595238095
MarcoPamba,261.3390316412594,0.33402132199458956,222.5,220.37916666666666
Mariscal Sucre,563.267094017094,0.2684042647860555,548.4375,355.5
Monte Sinai,121.59005364736265,0.19971391697206464,114.875,61.68318452380953
Mucho Lote,290.58310203964174,0.27840420779878405,257.25,213.28928571428574
Nueva Prosperina,163.2874613927809,0.2635598371509651,138.64285714285714,104.76388888888889
Orquideas,312.63240897943786,0.28035174583943334,273.25,285.9652777777778
Parroquia Garcia Moreno,271.97760858366337,0.2857483376087684,249.125,183.37660256410257
Parroquia Letamendi,261.44915835143036,0.29835384351958844,225.125,195.58407738095238
Parroquia Sucre,311.76024548112173,0.323234159444992,253.25,257.90625
Parroquia Urdaneta,279.5562851327777,0.3414131197208051,204.0,243.825
Pascuales,204.11404024161465,0.2593132617685415,186.73333333333335,128.09821428571428
Ponceano,414.6153626938161,0.38445566576568385,274.16666666666663,397.98511904761904
Pradera,333.0703216374269,0.26442479894674686,272.73809523809524,159.10349025974025
Prosperina,281.7926535676329,0.3116290639787066,235.0,225.67261904761907
Puerto Lisa,217.33899524463925,0.29468972971428203,186.8375,158.53472222222223
Quitumbe,240.09887146160395,0.3394330814988106,209.0,209.359375
Rosales,279.6848162071846,0.22690212740628005,279.0,182.84345238095239
Samanes,372.30790130914727,0.23249411805129727,359.85,209.63541666666666
San Bartolo,226.70400049651968,0.2632101967724985,187.5,114.20340909090908
San Carlos,483.51200972940103,0.2349952179418094,387.875,252.375
San Francisco,167.0908983785822,0.2358069076292488,166.34375,111.375
San Isidro del Inca,486.9867195529291,0.413620334490784,321.75,503.95833333333326
San Juan,234.60729737631178,0.3280664012928697,200.45833333333331,175.99553571428572
Santa Anita,306.6740625602128,0.2923395197707559,240.375,250.3660714285714
Santa Isabel,375.46138402583375,0.3566690165741588,252.625,345.1815476190476
Santa Maria de Cotocollao,173.5995115995116,0.2524403124155743,147.60416666666669,117.2933836996337
Santa Rita,243.32415590710337,0.22846359753906365,234.45833333333331,130.86458333333331
Sauces,364.8911108038503,0.3166026529662062,332.0,335.79583333333335
Sergio Toral,150.11724300831443,0.25941547654718267,135.78571428571428,109.76388888888889
Solanda,234.6124334820881,0.2562088120657841,220.0,149.0
TerraNostra,786.9315789473684,0.2936870229808853,755.0,543.075
Turubamba,270.2321011257379,0.3119483778985409,199.625,242.68333333333334
Urbanor,358.164656726501,0.27513171724462443,324.0,271.9625744047619
Urdenor,434.5878153012299,0.28537805397391536,397.3333333333333,335.40000000000003
Vergeles,190.11452241715398,0.1734846186900198,174.51666666666665,70.79895833333333
Vista Sol,1074.4722222222222,0.2655710957719696,947.6,975.3000000000002
