sector,pmc
Abel Gilbert,341.42085565531943
Acacias,507.0232027672504
Alborada,819.0859208941413
Argelia,435.42667084232147
Atarazana,857.2443039464681
Bastion Popular,270.03122964185263
Batallon del Suburbio,552.6676517280791
Belisario Quevedo,1007.4000987642497
Bellavista,628.1230552118698
Carcelen,756.5561601782215
Centro Historico,733.5922209406227
Chillogallo,599.275878352447
Ciudadela 9 de Octubre,510.8284549931958
Comite del Pueblo,752.4276687174784
Cotocollao,705.4710369631482
Cristo del Consuelo,591.3253044210185
El Fortin,480.5124590390441
El Inca,907.5331391615717
El condado,727.0694758078761
Febres Cordero,649.3574430208972
Floresta,472.77863954554175
Florida,438.0258768062018
Garzota,822.8042333102381
Guamani,402.0906338326429
Guasmo Oeste,410.07552795433605
Guasmo Sur - La Union,237.014518438233
Guayacanes,630.6304269351687
Huancavilca Norte,798.033531651605
I̱aquito,1494.7285632523108
Juan Montalvo,662.0038517125396
La Ecuatoriana,285.2029132860904
La Ferroviaria,227.29277983717475
La Mena,442.258899190225
La Paz,1480.9770814673782
Las Americas,591.4142532691166
Los Esteros,679.8379565676009
Lotizacion Industrial Pascuales,543.6529439004718
Mapasingue,508.64771576498055
Mariscal Sucre,1295.5629494004347
Mucho Lote,686.2639803364359
Orquideas,687.9801866314913
Parroquia Garcia Moreno,466.7769346105783
Parroquia Letamendi,452.2848303497394
Parroquia Sucre,867.6631188021581
Parroquia Urdaneta,442.43396370676726
Pascuales,605.5902282344459
Ponceano,866.3974460605142
Pradera,447.2253483589232
Prosperina,453.3892548116658
Puerto Lisa,851.1426302945856
Quitumbe,606.4510678117521
Samanes,743.300493610205
San Carlos,750.6898074950572
San Isidro del Inca,900.9099633035593
San Juan,627.4698010484976
Santa Rita,1063.6241066522064
Sauces,686.3925281994068
Solanda,517.2088871712369
Turubamba,542.1887393754248
Urdenor,936.5852788389494
Vergeles,735.7071431827845
